MurmurHash3 32,XXHash 32,Polynomial Hash 32
25.2568,12.9360,12.3748
12.5492,12.3958,12.2503
12.3624,12.7214,12.2397
14.1483,12.1885,15.9508
14.7851,13.2980,17.7354
14.8949,12.7597,15.3183
15.2587,12.2584,15.9949
16.0636,12.2012,19.3467
17.1421,12.4485,19.4897
16.7686,12.5114,19.4570
18.1921,13.1358,19.2979
18.6445,13.9173,24.9715
18.5610,12.9320,24.7298
19.3842,13.6379,24.4050
19.9388,14.3315,24.3621
18.8525,13.4104,33.1412
19.7008,14.6721,32.1354
20.3606,14.9468,32.2892
20.8365,16.8135,32.5506
20.8887,15.6972,41.2267
20.8068,14.9958,39.9778
21.7007,17.1693,40.3039
22.8158,17.8111,39.6772
22.7001,16.2770,48.7251
23.1772,16.4048,48.5595
23.9771,17.8906,53.2074
25.6125,19.1854,51.5851
24.4697,17.9896,56.7439
24.5467,17.9228,56.8672
24.9523,17.9481,56.7908
25.3306,18.3208,57.2141
25.7326,17.5831,65.7762
26.2808,18.2327,64.9734
26.7436,18.3441,64.5637
27.4985,19.2216,64.8344
27.4607,18.1561,73.1542
27.6641,19.2126,73.3876
28.9948,20.0534,73.6089
29.3781,20.2402,74.3813
30.1223,19.3173,82.5390
31.7349,20.0500,83.1535
32.8097,20.4591,83.1420
32.2508,21.1016,83.1375
33.3671,20.4410,91.2311
33.2915,21.2739,92.3278
34.8572,21.9826,93.1474
36.0954,22.2775,92.8246
37.3358,21.0554,102.0919
36.4426,21.6460,101.2108
37.3985,22.1545,101.3457
37.9884,23.0017,101.3943
38.8183,22.1400,115.0377
43.5840,25.6048,133.9968
48.2176,30.2907,136.4916
50.5799,29.3226,133.7553
51.9132,29.6374,148.8444
52.0842,29.8962,152.0586
53.7936,29.7732,147.0229
51.0572,29.7520,149.3960
53.7683,29.7784,156.1335
54.5873,30.1644,159.5734
56.0149,30.9509,159.2853
56.6124,32.1130,163.1061
57.4047,29.5190,166.0943
56.5506,29.9694,165.0046
57.3455,30.8177,164.9522
57.9418,31.8612,172.7181
61.6264,31.6768,179.5117
62.7385,30.9702,181.9526
64.4984,36.9372,190.4936
61.5804,33.4972,175.0998
60.9487,31.4714,188.4582
64.2670,32.7717,191.6795
63.5864,32.6059,186.9354
63.3644,33.9128,187.3720
64.3653,33.1369,201.6143
64.5305,33.3844,201.9506
68.1490,33.9463,198.8117
65.5104,34.1511,199.6180
68.9409,34.1697,225.1266
81.2405,51.7113,262.0874
76.2343,35.8444,222.0309
83.7197,41.0975,234.4086
82.7308,39.5649,242.6131
77.9819,38.3768,241.6766
78.2372,39.5927,244.4068
77.1610,38.6483,242.2993
101.8548,50.0816,298.8571
89.4520,41.1868,275.8728
97.3701,42.8154,257.6619
90.6195,43.1103,239.5223
79.3976,38.8101,262.2434
84.5476,40.9721,304.3242
106.8871,44.0469,261.1472
83.4195,37.6644,231.7877
88.1716,52.6643,336.0971
115.8494,43.5324,269.9421
91.3735,39.9149,258.1146
91.8086,41.4850,282.7293
